Name,Cmpg,Hmpg,Eng,Cyl,Vol,Air,DNa,DSt,Drive,DFw,DRw,DAw,D4w,Class,DMc,DSc,DCo,DMi,DLa,DSw,DSu
Mercedes E 350 Coupe 3.5L,17,26,3.5,6,0.92,N,1,0,R,0,1,0,0,SC,0,1,0,0,0,0,0
Mercedes E 550 4.7L,15,23,4.7,8,1.11,N,1,0,R,0,1,0,0,MI,0,0,0,1,0,0,0
Mercedes E 550 4matic 5.5L,15,23,5.5,8,1.11,N,1,0,4,0,0,0,1,MI,0,0,0,1,0,0,0
Mercedes E 550 Convertible 5.5L,15,22,5.5,8,0.86,N,1,0,R,0,1,0,0,SC,0,1,0,0,0,0,0
Mercedes E 550 Coupe 5.5L,15,23,5.5,8,0.92,N,1,0,R,0,1,0,0,SC,0,1,0,0,0,0,0
Mercedes E 63 AMG 6.2L,13,20,6.2,8,1.11,N,1,0,R,0,1,0,0,MI,0,0,0,1,0,0,0
Mercedes G 550 5.5L,11,15,5.5,8,1.73,N,1,0,4,0,0,0,1,SU,0,0,0,0,0,0,1
Mercedes GL 450 4matic 4.7L,13,18,4.7,8,1.59,N,1,0,4,0,0,0,1,SU,0,0,0,0,0,0,1
Mercedes GL 550 4matic 5.5L,12,17,5.5,8,1.59,N,1,0,4,0,0,0,1,SU,0,0,0,0,0,0,1
Mercedes GLK 350 3.5L,16,23,3.5,6,1.26,N,1,0,R,0,1,0,0,SU,0,0,0,0,0,0,1
Mercedes GLK 350 4matic 3.5L,16,21,3.5,6,1.26,N,1,0,4,0,0,0,1,SU,0,0,0,0,0,0,1
Mercedes ML 350 3.5L,16,20,3.5,6,1.48,N,1,0,R,0,1,0,0,SU,0,0,0,0,0,0,1
Mercedes ML 350 4matic 3.5L,15,20,3.5,6,1.48,N,1,0,R,0,1,0,0,SU,0,0,0,0,0,0,1
Mercedes ML 550 4matic 5.5L,13,18,5.5,8,1.48,N,1,0,4,0,0,0,1,SU,0,0,0,0,0,0,1
Mercedes ML 63 AMG 6.3L,11,15,6.3,8,1.48,N,1,0,4,0,0,0,1,SU,0,0,0,0,0,0,1
Mercedes R 350 4matic 3.5L,15,19,3.5,6,1.62,N,1,0,R,0,1,0,0,SU,0,0,0,0,0,0,1
Mercedes S 550 4matic 5.5L,14,21,5.5,8,1.25,N,1,0,4,0,0,0,1,LA,0,0,0,0,1,0,0
Mercedes S 550 5.5L,15,23,5.5,8,1.25,N,1,0,R,0,1,0,0,LA,0,0,0,0,1,0,0
Mini Cooper 1.6L,28,36,1.6,4,0.82,N,1,0,F,1,0,0,0,MC,1,0,0,0,0,0,0
Mini Cooper Countryman 1.6L,25,30,1.6,4,1.03,N,1,0,F,1,0,0,0,CO,0,0,1,0,0,0,0
Mini Cooper S 1.6L,26,34,1.6,4,0.82,TC,0,1,F,1,0,0,0,MC,1,0,0,0,0,0,0
Mini Cooper S Clubman 1.6L,26,34,1.6,4,0.97,TC,0,1,F,1,0,0,0,SC,0,1,0,0,0,0,0
Mini Cooper S Convertible 1.6L,26,34,1.6,4,0.80,TC,0,1,F,1,0,0,0,MC,1,0,0,0,0,0,0
Mini Cooper S Countryman 1.6L,25,32,1.6,4,1.03,TC,0,1,F,1,0,0,0,CO,0,0,1,0,0,0,0
Mini Cooper S Countryman All4 1.6L,23,30,1.6,4,1.03,TC,0,1,A,0,0,1,0,CO,0,0,1,0,0,0,0
Mini Mini Clubman 1.6L,27,36,1.6,4,0.97,N,1,0,F,1,0,0,0,SC,0,1,0,0,0,0,0
Mini Mini Convertible 1.6L,27,36,1.6,4,0.80,N,1,0,F,1,0,0,0,MC,1,0,0,0,0,0,0
Mitsubishi Eclipse 2.4L,20,28,2.4,4,0.98,N,1,0,F,1,0,0,0,SC,0,1,0,0,0,0,0
Mitsubishi Eclipse 3.8L,17,25,3.8,6,0.98,N,1,0,F,1,0,0,0,SC,0,1,0,0,0,0,0
Mitsubishi Eclipse Spyder 2.4L,20,27,2.4,4,0.81,N,1,0,F,1,0,0,0,MC,1,0,0,0,0,0,0
Mitsubishi Eclipse Spyder 3.8L,16,24,3.8,6,0.81,N,1,0,F,1,0,0,0,MC,1,0,0,0,0,0,0
Mitsubishi Galant 2.4L,21,30,2.4,4,1.14,N,1,0,F,1,0,0,0,MI,0,0,0,1,0,0,0
Mitsubishi Lancer 2.4L,23,30,2.4,4,1.05,N,1,0,F,1,0,0,0,CO,0,0,1,0,0,0,0
Mitsubishi Lancer Turbo 2L,17,25,2.0,4,1.05,TC,0,1,A,0,0,1,0,CO,0,0,1,0,0,0,0
Mitsubishi Lancer 2L,25,33,2.0,4,1.05,N,1,0,F,1,0,0,0,CO,0,0,1,0,0,0,0
Mitsubishi Lancer Evolution 2L,17,22,2.0,4,1.00,TC,0,1,A,0,0,1,0,CO,0,0,1,0,0,0,0
Mitsubishi Lancer Sportback Turbo 2L,17,25,2.0,4,1.09,TC,0,1,A,0,0,1,0,SW,0,0,0,0,0,1,0
Mitsubishi Lancer Sportback 2L,25,32,2.0,4,1.09,N,1,0,F,1,0,0,0,SW,0,0,0,0,0,1,0
Nissan 370Z 3.7L,19,26,3.7,6,0.59,N,1,0,R,0,1,0,0,MC,1,0,0,0,0,0,0
Nissan 370Z Roadster 3.7L,18,25,3.7,6,0.56,N,1,0,R,0,1,0,0,MC,1,0,0,0,0,0,0
Nissan Altima 2.5L,23,32,2.5,4,1.16,N,1,0,F,1,0,0,0,MI,0,0,0,1,0,0,0
Nissan Altima 3.5L,20,27,3.5,6,1.16,N,1,0,F,1,0,0,0,MI,0,0,0,1,0,0,0
Nissan Altima Coupe 2.5L,23,32,2.5,4,0.97,N,1,0,F,1,0,0,0,SC,0,1,0,0,0,0,0
Nissan Altima Coupe 3.5L,20,27,3.5,6,0.97,N,1,0,F,1,0,0,0,SC,0,1,0,0,0,0,0
Nissan Cube 1.8L,27,31,1.8,4,1.09,N,1,0,F,1,0,0,0,SW,0,0,0,0,0,1,0
Nissan GT-R 3.8L,15,21,3.8,6,0.88,TC,0,1,A,0,0,1,0,SC,0,1,0,0,0,0,0
Nissan Juke 1.6L,27,32,1.6,4,0.96,TC,0,1,F,1,0,0,0,SW,0,0,0,0,0,1,0
Nissan Juke Awd 1.6L,25,30,1.6,4,0.96,TC,0,1,A,0,0,1,0,SW,0,0,0,0,0,1,0
Nissan Maxima 3.5L,19,26,3.5,6,1.10,N,1,0,F,1,0,0,0,MI,0,0,0,1,0,0,0
Nissan Sentra 2.5L,24,30,2.5,4,1.10,N,1,0,F,1,0,0,0,MI,0,0,0,1,0,0,0
Nissan Sentra 2L,27,34,2.0,4,1.10,N,1,0,F,1,0,0,0,MI,0,0,0,1,0,0,0
Nissan Versa 1.6L,25,33,1.6,4,1.08,N,1,0,F,1,0,0,0,MI,0,0,0,1,0,0,0
Nissan Versa 1.8L,24,32,1.8,4,1.08,N,1,0,F,1,0,0,0,MI,0,0,0,1,0,0,0
Porsche 911 Carrera 3.6L,19,27,3.6,6,0.75,N,1,0,R,0,1,0,0,MC,1,0,0,0,0,0,0
Porsche 911 Carrera 4 3.6L,18,26,3.6,6,0.75,N,1,0,4,0,0,0,1,MC,1,0,0,0,0,0,0
Porsche 911 Carrera 4 Cabriolet 3.6L,18,26,3.6,6,0.73,N,1,0,4,0,0,0,1,MC,1,0,0,0,0,0,0
Porsche 911 Carrera 4 Targa 3.6L,18,26,3.6,6,0.75,N,1,0,4,0,0,0,1,MC,1,0,0,0,0,0,0
Porsche 911 Carrera 4S 3.8L,18,26,3.8,6,0.75,N,1,0,4,0,0,0,1,MC,1,0,0,0,0,0,0
Porsche 911 Carrera 4S Cabriolet 3.8L,18,27,3.8,6,0.73,N,1,0,4,0,0,0,1,MC,1,0,0,0,0,0,0
Porsche 911 Carrera 4S Targa 3.8L,18,27,3.8,6,0.75,N,1,0,4,0,0,0,1,MC,1,0,0,0,0,0,0
Porsche 911 Carrera Cabriolet 3.6L,19,27,3.6,6,0.73,N,1,0,R,0,1,0,0,MC,1,0,0,0,0,0,0
Porsche 911 Carrera S 3.8L,19,26,3.8,6,0.75,N,1,0,R,0,1,0,0,MC,1,0,0,0,0,0,0
Porsche 911 Carrera S Cabriolet 3.8L,19,27,3.8,6,0.73,N,1,0,R,0,1,0,0,MC,1,0,0,0,0,0,0
Porsche 911 GTS 3.8L,19,26,3.8,6,0.75,N,1,0,R,0,1,0,0,MC,1,0,0,0,0,0,0
Porsche 911 GTS Cabriolet 3.8L,19,27,3.8,6,0.73,N,1,0,R,0,1,0,0,MC,1,0,0,0,0,0,0
Porsche 911 Turbo Cabriolet 3.8L,16,24,3.8,6,0.75,TC,0,1,R,0,1,0,0,MC,1,0,0,0,0,0,0
Porsche 911 Turbo Coupe 3.8L,17,25,3.8,6,0.75,TC,0,1,R,0,1,0,0,MC,1,0,0,0,0,0,0
Porsche 911 Turbo S Cabriolet 3.8L,16,24,3.8,6,0.75,TC,0,1,R,0,1,0,0,MC,1,0,0,0,0,0,0
Porsche 911 Turbo S Coupe 3.8L,17,25,3.8,6,0.75,TC,0,1,R,0,1,0,0,MC,1,0,0,0,0,0,0
Porsche Panamera 3.6L,18,27,3.6,6,1.23,N,1,0,R,0,1,0,0,LA,0,0,0,0,1,0,0
Porsche Panamera 4 3.6L,18,26,3.6,6,1.23,N,1,0,4,0,0,0,1,LA,0,0,0,0,1,0,0
Porsche Panamera 4S 4.8L,16,24,4.8,8,1.23,N,1,0,A,0,0,1,0,LA,0,0,0,0,1,0,0
Porsche Panamera S 4.8L,16,24,4.8,8,1.23,N,1,0,R,0,1,0,0,LA,0,0,0,0,1,0,0
Porsche Panamera Turbo 4.8L,15,23,4.8,8,1.23,TC,0,1,A,0,0,1,0,LA,0,0,0,0,1,0,0
Rolls-Royce Ghost 6.6L,13,20,6.6,12,1.25,TC,0,1,R,0,1,0,0,LA,0,0,0,0,1,0,0
Rolls-Royce Phantom 6.7L,11,18,6.7,12,1.27,N,1,0,R,0,1,0,0,LA,0,0,0,0,1,0,0
Rolls-Royce Phantom Coupe 6.7L,11,18,6.7,12,1.09,N,1,0,R,0,1,0,0,CO,0,0,1,0,0,0,0
Rolls-Royce Phantom Drophead Coupe 6.7L,11,18,6.7,12,1.08,N,1,0,R,0,1,0,0,CO,0,0,1,0,0,0,0
Rolls-Royce Phantom EWB 6.7L,11,18,6.7,12,1.39,N,1,0,R,0,1,0,0,LA,0,0,0,0,1,0,0
Saab 9-3 Sedan Awd 2L,17,27,2.0,4,1.05,TC,0,1,A,0,0,1,0,CO,0,0,1,0,0,0,0
Saab 9-3 Sport Sedan 2L,19,28,2.0,4,1.05,TC,0,1,F,1,0,0,0,CO,0,0,1,0,0,0,0
Scion tC 2.5L,23,31,2.5,4,1.05,N,1,0,F,1,0,0,0,CO,0,0,1,0,0,0,0
Scion xB 2.4L,22,28,2.4,4,1.23,N,1,0,F,1,0,0,0,SW,0,0,0,0,0,1,0
Scion xD 1.8L,27,33,1.8,4,0.95,N,1,0,F,1,0,0,0,SC,0,1,0,0,0,0,0
Subaru Forester Awd 2.5L,21,27,2.5,4,1.42,N,1,0,A,0,0,1,0,SU,0,0,0,0,0,0,1
Subaru Impreza Awd 2.5L,20,26,2.5,4,1.05,N,1,0,A,0,0,1,0,CO,0,0,1,0,0,0,0
Subaru Impreza Outback Sport Awd 2.5L,20,26,2.5,4,1.13,N,1,0,A,0,0,1,0,SW,0,0,0,0,0,1,0
Subaru Legacy Awd 2.5L,23,31,2.5,4,1.18,N,1,0,A,0,0,1,0,MI,0,0,0,1,0,0,0
Subaru Legacy Awd 3.6L,18,25,3.6,6,1.18,N,1,0,A,0,0,1,0,MI,0,0,0,1,0,0,0
Subaru Outback Awd Wagon 2.5L,22,29,2.5,4,1.40,N,1,0,A,0,0,1,0,SU,0,0,0,0,0,0,1
Subaru Outback Awd Wagon 3.6L,18,25,3.6,6,1.40,N,1,0,A,0,0,1,0,SU,0,0,0,0,0,0,1
Subaru Tribeca Awd 3.6L,16,21,3.6,6,1.42,N,1,0,A,0,0,1,0,SU,0,0,0,0,0,0,1
Suzuki Kizashi 2.4L,23,30,2.4,4,1.05,N,1,0,F,1,0,0,0,CO,0,0,1,0,0,0,0
Suzuki Kizashi Awd 2.4L,22,29,2.4,4,1.05,N,1,0,A,0,0,1,0,CO,0,0,1,0,0,0,0
Suzuki Kizashi S 2.4L,23,31,2.4,4,1.05,N,1,0,F,1,0,0,0,CO,0,0,1,0,0,0,0
Suzuki Kizashi S Awd 2.4L,23,30,2.4,4,1.05,N,1,0,A,0,0,1,0,CO,0,0,1,0,0,0,0
Suzuki Swift + 1.6L,25,34,1.6,4,0.98,N,1,0,F,1,0,0,0,SC,0,1,0,0,0,0,0
Suzuki SX4 2L,23,30,2.0,4,0.98,N,1,0,F,1,0,0,0,SW,0,0,0,0,0,1,0
Suzuki SX4 Awd 2L,23,29,2.0,4,0.98,N,1,0,A,0,0,1,0,SW,0,0,0,0,0,1,0
Suzuki SX4 Sedan 2L,25,32,2.0,4,1.04,N,1,0,F,1,0,0,0,CO,0,0,1,0,0,0,0
Suzuki SX4 Sport Anniversary Edition 2L,23,30,2.0,4,1.04,N,1,0,F,1,0,0,0,CO,0,0,1,0,0,0,0
Toyota Avalon 3.5L,20,29,3.5,6,1.21,N,1,0,F,1,0,0,0,LA,0,0,0,0,1,0,0
Toyota Camry 2.5L,22,32,2.5,4,1.16,N,1,0,F,1,0,0,0,MI,0,0,0,1,0,0,0
Toyota Camry 3.5L,20,29,3.5,6,1.16,N,1,0,F,1,0,0,0,MI,0,0,0,1,0,0,0
Toyota Corolla 1.8L,26,34,1.8,4,1.04,N,1,0,F,1,0,0,0,CO,0,0,1,0,0,0,0
Toyota Corolla 2.4L,22,30,2.4,4,1.04,N,1,0,F,1,0,0,0,CO,0,0,1,0,0,0,0
Toyota Corolla Matrix 1.8L,25,32,1.8,4,1.14,N,1,0,F,1,0,0,0,SW,0,0,0,0,0,1,0
Toyota Corolla Matrix 2.4L,21,29,2.4,4,1.14,N,1,0,F,1,0,0,0,SW,0,0,0,0,0,1,0
Toyota Yaris 1.5L,29,35,1.5,4,1.00,N,1,0,F,1,0,0,0,SC,0,1,0,0,0,0,0
Volkswagen CC 2L,22,31,2.0,4,1.07,TC,0,1,F,1,0,0,0,CO,0,0,1,0,0,0,0
Volkswagen CC 4motion 3.6L,17,25,3.6,6,1.07,N,1,0,A,0,0,1,0,CO,0,0,1,0,0,0,0
Volkswagen Eos 2L,22,30,2.0,4,0.88,TC,0,1,F,1,0,0,0,SC,0,1,0,0,0,0,0
Volkswagen Golf 2.5L,24,31,2.5,5,1.09,N,1,0,F,1,0,0,0,CO,0,0,1,0,0,0,0
Volkswagen GTI 2L,24,33,2.0,4,1.09,TC,0,1,F,1,0,0,0,CO,0,0,1,0,0,0,0
Volkswagen Jetta 2.5L,24,31,2.5,5,1.10,N,1,0,F,1,0,0,0,CO,0,0,1,0,0,0,0
Volkswagen Jetta 2L,23,29,2.0,4,1.10,N,1,0,F,1,0,0,0,CO,0,0,1,0,0,0,0
Volkswagen Jetta Sportwagen 2.5L,24,31,2.5,5,1.25,N,1,0,F,1,0,0,0,SW,0,0,0,0,0,1,0
Volvo C30 Fwd 2.5L,21,30,2.5,5,1.04,TC,0,1,F,1,0,0,0,CO,0,0,1,0,0,0,0
Volvo C70 Fwd 2.5L,19,28,2.5,5,0.97,TC,0,1,F,1,0,0,0,SC,0,1,0,0,0,0,0
Volvo S40 Fwd 2.5L,21,30,2.5,5,1.05,TC,0,1,F,1,0,0,0,CO,0,0,1,0,0,0,0
Volvo S60 Awd 3L,18,26,3.0,6,1.06,TC,0,1,A,0,0,1,0,CO,0,0,1,0,0,0,0
Volvo S80 Awd 3L,18,26,3.0,6,1.13,TC,0,1,A,0,0,1,0,MI,0,0,0,1,0,0,0
Volvo S80 Fwd 3.2L,19,27,3.2,6,1.13,N,1,0,F,1,0,0,0,MI,0,0,0,1,0,0,0
Volvo V50 Fwd 2.5L,21,30,2.5,5,1.25,TC,0,1,F,1,0,0,0,SW,0,0,0,0,0,1,0
Volvo XC60 Awd 3.2L,18,24,3.2,6,1.33,N,1,0,A,0,0,1,0,SU,0,0,0,0,0,0,1
Volvo XC60 Awd 3L,17,22,3.0,6,1.33,TC,0,1,A,0,0,1,0,SU,0,0,0,0,0,0,1
Volvo XC60 Fwd 3.2L,18,25,3.2,6,1.33,N,1,0,F,1,0,0,0,SU,0,0,0,0,0,0,1
Volvo XC70 Awd 3.2L,18,24,3.2,6,1.35,N,1,0,A,0,0,1,0,SU,0,0,0,0,0,0,1
Volvo XC70 Awd 3L,17,22,3.0,6,1.35,TC,0,1,A,0,0,1,0,SU,0,0,0,0,0,0,1
Volvo XC70 Fwd 3.2L,18,25,3.2,6,1.35,N,1,0,F,1,0,0,0,SU,0,0,0,0,0,0,1
